date,Baghdad,Cairo,Tripoli,Amman,Manama,Damascus,Riyadh
2014-10-12,25.0,9.0,8.0,3.0,0.0,9.0,0.0
2014-10-19,52.0,9.0,9.0,1.0,0.0,7.0,5.0
2014-10-26,28.0,5.0,14.0,0.0,0.0,0.0,0.0
2014-11-02,53.0,2.0,9.0,0.0,1.0,5.0,0.0
2014-11-09,16.0,17.0,1.0,3.0,0.0,5.0,8.0
2014-11-16,17.0,17.0,8.0,2.0,0.0,10.0,1.0
2014-11-23,25.0,4.0,1.0,0.0,0.0,3.0,4.0
2014-11-30,12.0,16.0,3.0,0.0,0.0,4.0,1.0
2014-12-07,11.0,9.0,2.0,0.0,0.0,7.0,1.0
2014-12-14,19.0,0.0,4.0,0.0,1.0,4.0,7.0
2014-12-21,3.0,0.0,5.0,0.0,0.0,1.0,5.0
2014-12-28,40.0,8.0,9.0,1.0,0.0,9.0,3.0
2015-01-04,25.0,11.0,8.0,0.0,2.0,10.0,0.0
2015-01-11,18.0,6.0,15.0,0.0,2.0,7.0,2.0
2015-01-18,5.0,5.0,5.0,0.0,3.0,12.0,1.0
2015-01-25,19.0,10.0,1.0,2.0,0.0,11.0,2.0
2015-02-01,22.0,13.0,76.0,22.0,0.0,7.0,0.0
2015-02-08,35.0,7.0,13.0,14.0,3.0,12.0,0.0
2015-02-15,37.0,25.0,4.0,0.0,0.0,4.0,1.0
2015-02-22,13.0,27.0,14.0,3.0,0.0,12.0,1.0
2015-03-01,21.0,10.0,4.0,2.0,2.0,16.0,3.0
2015-03-08,29.0,10.0,17.0,0.0,0.0,13.0,2.0
2015-03-15,34.0,9.0,7.0,1.0,14.0,9.0,0.0
2015-03-22,5.0,3.0,24.0,0.0,0.0,1.0,1.0
