date,Iraq,Egypt,Libya,Jordan,Bahrain,Syria,Saudi Arabia
2014-07-06,16.0,65.0,5.0,4.0,0.0,1.0,2.0
2014-07-13,14.0,16.0,7.0,1.0,2.0,11.0,5.0
2014-07-20,6.0,42.0,9.0,2.0,3.0,3.0,4.0
2014-07-27,15.0,11.0,4.0,2.0,0.0,6.0,6.0
2014-08-03,7.0,9.0,3.0,0.0,0.0,7.0,6.0
2014-08-10,15.0,57.0,3.0,5.0,3.0,9.0,1.0
2014-08-17,9.0,63.0,1.0,4.0,1.0,6.0,2.0
2014-08-24,9.0,25.0,6.0,9.0,0.0,2.0,27.0
2014-08-31,6.0,37.0,0.0,1.0,9.0,25.0,11.0
2014-09-07,10.0,31.0,12.0,2.0,6.0,15.0,42.0
2014-09-14,8.0,37.0,2.0,2.0,2.0,5.0,8.0
2014-09-21,5.0,62.0,4.0,15.0,1.0,11.0,8.0
2014-09-28,11.0,31.0,3.0,4.0,0.0,4.0,2.0
2014-10-05,2.0,27.0,3.0,4.0,4.0,0.0,2.0
2014-10-12,2.0,34.0,1.0,5.0,0.0,4.0,0.0
2014-10-19,9.0,43.0,5.0,5.0,1.0,14.0,27.0
2014-10-26,4.0,47.0,6.0,4.0,1.0,2.0,8.0
2014-11-02,9.0,56.0,12.0,14.0,7.0,5.0,4.0
2014-11-09,2.0,19.0,4.0,10.0,2.0,8.0,35.0
2014-11-16,10.0,55.0,5.0,15.0,2.0,15.0,7.0
2014-11-23,7.0,50.0,7.0,15.0,5.0,2.0,14.0
2014-11-30,5.0,107.0,9.0,8.0,0.0,3.0,20.0
2014-12-07,4.0,50.0,0.0,1.0,2.0,0.0,7.0
2014-12-14,6.0,44.0,20.0,10.0,1.0,2.0,9.0
2014-12-21,5.0,37.0,8.0,6.0,0.0,8.0,4.0
2014-12-28,2.0,22.0,5.0,13.0,6.0,15.0,5.0
2015-01-04,11.0,19.0,0.0,1.0,32.0,6.0,1.0
2015-01-11,3.0,22.0,8.0,1.0,13.0,7.0,12.0
2015-01-18,8.0,12.0,6.0,7.0,7.0,15.0,6.0
2015-01-25,11.0,46.0,2.0,11.0,8.0,11.0,2.0
2015-02-01,4.0,82.0,5.0,47.0,2.0,13.0,4.0
2015-02-08,17.0,98.0,6.0,43.0,2.0,8.0,6.0
2015-02-15,12.0,23.0,5.0,21.0,7.0,5.0,7.0
2015-02-22,16.0,21.0,10.0,5.0,4.0,12.0,2.0
2015-03-01,8.0,84.0,4.0,10.0,17.0,16.0,5.0
2015-03-08,18.0,39.0,11.0,14.0,4.0,10.0,11.0
2015-03-15,23.0,23.0,6.0,10.0,4.0,8.0,5.0
2015-03-22,13.0,44.0,5.0,7.0,5.0,5.0,3.0
