date,Baghdad,Cairo,Tripoli,Amman,Manama,Damascus,Riyadh
2014-11-09,0.0,10.0,0.0,3.0,0.0,0.0,0.0
2014-11-16,0.0,5.0,2.0,2.0,0.0,0.0,0.0
2014-11-23,0.0,16.0,1.0,0.0,9.0,1.0,0.0
2014-11-30,0.0,145.0,0.0,2.0,3.0,0.0,0.0
2014-12-07,0.0,25.0,0.0,0.0,2.0,0.0,0.0
2014-12-14,0.0,9.0,0.0,1.0,6.0,0.0,0.0
2014-12-21,1.0,4.0,0.0,1.0,2.0,0.0,0.0
2014-12-28,0.0,1.0,0.0,6.0,8.0,1.0,0.0
2015-01-04,1.0,3.0,2.0,1.0,30.0,3.0,0.0
2015-01-11,0.0,3.0,1.0,0.0,12.0,0.0,0.0
2015-01-18,2.0,3.0,1.0,5.0,6.0,0.0,0.0
2015-01-25,2.0,61.0,1.0,1.0,5.0,0.0,4.0
2015-02-01,0.0,60.0,0.0,5.0,2.0,0.0,1.0
2015-02-08,1.0,24.0,1.0,24.0,3.0,0.0,0.0
2015-02-15,5.0,11.0,0.0,2.0,13.0,0.0,0.0
2015-02-22,1.0,11.0,0.0,1.0,4.0,1.0,0.0
2015-03-01,3.0,7.0,7.0,2.0,4.0,0.0,0.0
2015-03-08,0.0,3.0,1.0,3.0,0.0,3.0,0.0
2015-03-15,1.0,1.0,1.0,2.0,4.0,4.0,0.0
2015-03-22,0.0,9.0,4.0,2.0,1.0,0.0,0.0
