date,Iraq,Baghdad,Egypt,Cairo,Libya,Tripoli,Jordan,Amman,Bahrain,Manama,Syria,Damascus,Saudi Arabia,Riyadh
2013-03-24,10.0,7.0,101.0,69.0,6.0,5.0,14.0,10.0,9.0,6.0,2.0,0.0,3.0,0.0
2013-03-31,13.0,7.0,117.0,49.0,8.0,7.0,5.0,3.0,8.0,3.0,4.0,1.0,1.0,0.0
2013-04-07,17.0,8.0,95.0,57.0,9.0,6.0,4.0,0.0,8.0,4.0,4.0,4.0,3.0,2.0
2013-04-14,11.0,2.0,69.0,42.0,6.0,4.0,10.0,1.0,10.0,6.0,14.0,2.0,6.0,2.0
2013-04-21,5.0,2.0,99.0,73.0,9.0,6.0,13.0,8.0,41.0,11.0,8.0,3.0,0.0,0.0
2013-04-28,107.0,17.0,70.0,25.0,12.0,7.0,8.0,6.0,9.0,5.0,15.0,4.0,3.0,1.0
2013-05-05,23.0,6.0,50.0,30.0,29.0,26.0,12.0,10.0,10.0,6.0,21.0,10.0,5.0,2.0
2013-05-12,5.0,3.0,13.0,7.0,17.0,11.0,5.0,2.0,6.0,4.0,21.0,9.0,0.0,0.0
2013-05-19,8.0,4.0,36.0,22.0,8.0,1.0,7.0,3.0,7.0,5.0,7.0,2.0,9.0,6.0
2013-05-26,14.0,8.0,32.0,9.0,3.0,0.0,22.0,10.0,15.0,10.0,9.0,2.0,1.0,0.0
2013-06-02,10.0,6.0,26.0,12.0,1.0,1.0,7.0,3.0,4.0,2.0,12.0,1.0,1.0,0.0
2013-06-09,3.0,3.0,40.0,15.0,43.0,5.0,5.0,1.0,5.0,2.0,15.0,5.0,1.0,0.0
2013-06-16,4.0,1.0,40.0,16.0,47.0,0.0,17.0,6.0,4.0,1.0,17.0,2.0,9.0,0.0
2013-06-23,4.0,2.0,94.0,33.0,6.0,0.0,13.0,7.0,0.0,0.0,14.0,12.0,5.0,3.0
2013-06-30,24.0,16.0,235.0,123.0,0.0,0.0,11.0,6.0,4.0,3.0,20.0,4.0,8.0,0.0
2013-07-07,10.0,1.0,566.0,341.0,12.0,8.0,11.0,8.0,4.0,1.0,10.0,3.0,0.0,0.0
2013-07-14,7.0,2.0,326.0,222.0,9.0,3.0,4.0,2.0,3.0,1.0,27.0,2.0,6.0,2.0
2013-07-21,10.0,4.0,242.0,147.0,2.0,0.0,9.0,2.0,15.0,0.0,11.0,4.0,2.0,2.0
2013-07-28,10.0,1.0,301.0,156.0,30.0,14.0,21.0,11.0,6.0,2.0,19.0,2.0,6.0,3.0
2013-08-04,3.0,0.0,240.0,131.0,10.0,3.0,10.0,5.0,2.0,0.0,14.0,3.0,1.0,0.0
2013-08-11,6.0,0.0,149.0,81.0,5.0,2.0,4.0,1.0,4.0,2.0,19.0,1.0,0.0,0.0
2013-08-18,3.0,2.0,447.0,258.0,11.0,10.0,12.0,9.0,28.0,15.0,11.0,1.0,1.0,1.0
2013-08-25,1.0,0.0,177.0,90.0,1.0,0.0,10.0,3.0,20.0,13.0,33.0,28.0,0.0,0.0
2013-09-01,31.0,12.0,142.0,66.0,2.0,2.0,3.0,1.0,11.0,11.0,17.0,13.0,0.0,0.0
2013-09-08,9.0,2.0,102.0,40.0,7.0,7.0,2.0,0.0,9.0,7.0,17.0,8.0,7.0,6.0
